Survived,Age,male,female,Pclass_1,Pclass_2,Pclass_3,Embarked_S,Embarked_C,Embarked_Q,Fare_l,Fare_m,Fare_s,Number_l,Number_m,Number_s
0,0.826771589,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,-0.460693316,1,0,0,0,1,0,1,0,0,0,1,0,0,1
0,-2.060508983,0,1,1,0,0,1,0,0,1,0,0,0,1,0
1,0.908876375,1,0,1,0,0,1,0,0,0,1,0,0,0,1
1,1.511172506,0,1,1,0,0,0,1,0,1,0,0,0,1,0
1,0.393645337,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,-0.456848798,1,0,0,0,1,0,0,1,0,1,0,0,1,0
0,-0.795538456,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,0.930163039,0,1,0,1,0,0,0,1,0,1,0,0,0,1
0,0.063481126,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,-2.140871817,1,0,1,0,0,1,0,0,1,0,0,0,1,0
1,-0.120265652,0,1,1,0,0,0,1,0,1,0,0,0,0,1
1,-0.944358518,0,1,1,0,0,0,1,0,1,0,0,0,1,0
0,0.022971886,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0.022971886,0,1,1,0,0,0,1,0,1,0,0,0,0,1
1,-0.4234883,0,1,1,0,0,0,1,0,1,0,0,0,0,1
1,-0.869948487,0,1,1,0,0,0,1,0,1,0,0,1,0,0
0,-0.274668238,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,-0.125848176,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,0.990302289,1,0,0,1,0,1,0,0,0,1,0,0,1,0
1,-0.274668238,0,1,0,0,1,1,0,0,0,0,1,0,0,1
1,-0.4234883,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,1.80881263,1,0,0,1,0,1,0,0,0,1,0,0,0,1
1,0.097381917,0,1,1,0,0,1,0,0,1,0,0,0,1,0
1,0.767072196,0,1,1,0,0,0,1,0,1,0,0,0,1,0
0,-0.572308362,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.200258207,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,0.022971886,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,-0.572308362,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,-1.352628373,1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0.469432072,0,1,1,0,0,0,1,0,1,0,0,0,0,1
0,2.329682848,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,0.469432072,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,0.097381917,0,1,0,0,1,1,0,0,0,1,0,0,1,0
1,-1.018768549,0,1,1,0,0,0,1,0,1,0,0,0,1,0
1,-0.456848798,0,1,0,0,1,0,0,1,0,1,0,0,1,0
0,1.176327367,1,0,1,0,0,1,0,0,0,1,0,0,0,1
0,0.618252134,1,0,1,0,0,1,0,0,1,0,0,0,1,0
0,-1.018768549,1,0,0,0,1,1,0,0,0,1,0,0,1,0
1,0.074190791,0,1,1,0,0,1,0,0,1,0,0,0,1,0
0,-0.149172215,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.051438145,1,0,1,0,0,1,0,0,1,0,0,0,1,0
1,0.841482227,0,1,1,0,0,0,1,0,1,0,0,0,0,1
1,1.139122351,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,1.139122351,1,0,1,0,0,1,0,0,0,1,0,0,0,1
1,-2.060508983,1,0,0,1,0,1,0,0,0,1,0,0,1,0
1,-0.4234883,0,1,1,0,0,1,0,0,1,0,0,1,0,0
0,-0.125848176,1,0,0,1,0,1,0,0,0,1,0,0,0,1
0,-0.349078269,1,0,0,1,0,1,0,0,0,1,0,0,0,1
0,0.469432072,1,0,0,1,0,1,0,0,0,1,0,0,0,1
1,-0.4234883,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,0.767072196,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,-0.190462658,0,1,0,0,1,1,0,0,0,1,0,0,1,0
1,-1.986098952,1,0,0,0,1,1,0,0,0,1,0,0,1,0
0,0.915892258,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.497898331,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,2.151236963,1,0,1,0,0,1,0,0,0,1,0,0,0,1
0,-1.09317858,1,0,0,0,1,0,1,0,0,0,1,0,1,0
0,-0.349078269,1,0,0,0,1,1,0,0,0,1,0,0,1,0
0,-0.027429555,1,0,0,0,1,0,1,0,0,0,1,0,0,1
0,-0.125848176,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,-0.572308362,0,1,1,0,0,1,0,0,1,0,0,0,1,0
0,0.618252134,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,-0.535186124,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,-0.535186124,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,0.767072196,1,0,0,0,1,1,0,0,0,1,0,1,0,0
0,-0.051438145,1,0,0,1,0,0,1,0,0,1,0,0,1,0
0,1.139122351,0,1,0,0,1,0,1,0,0,1,0,0,1,0
0,0.395022041,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,0.302257536,1,0,0,0,1,0,0,1,0,1,0,0,1,0
0,0.022971886,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,2.255272817,0,1,1,0,0,0,1,0,1,0,0,0,1,0
1,-0.50715885,0,1,0,0,1,0,1,0,0,0,1,0,0,1
1,0.393645337,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,-0.4234883,0,1,1,0,0,0,1,0,1,0,0,0,0,1
1,-0.349078269,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,-0.869948487,1,0,0,0,1,1,0,0,0,0,1,0,1,0
0,-0.795538456,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.572308362,1,0,1,0,0,0,1,0,1,0,0,0,0,1
0,-1.986098952,0,1,0,0,1,1,0,0,0,1,0,1,0,0
1,0.255255199,0,1,1,0,0,0,1,0,1,0,0,0,1,0
1,-0.572308362,0,1,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.200258207,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,-0.721128424,1,0,0,0,1,0,1,0,0,0,1,0,0,1
0,-0.795538456,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,0.915892258,0,1,1,0,0,0,1,0,1,0,0,0,0,1
1,-2.134919014,0,1,0,0,1,0,1,0,0,1,0,0,1,0
0,0.171791948,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,0.395022041,0,1,1,0,0,1,0,0,1,0,0,0,1,0
0,-0.149172215,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.869948487,1,0,0,1,0,1,0,0,1,0,0,0,0,1
0,-2.134919014,1,0,0,0,1,1,0,0,0,1,0,1,0,0
1,0.469432072,0,1,0,1,0,1,0,0,0,1,0,0,0,1
0,-0.712376092,1,0,0,0,1,0,0,1,0,0,1,0,0,1
1,-0.944358518,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1,0.469432072,1,0,1,0,0,1,0,0,1,0,0,0,1,0
1,-0.646718393,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.125848176,1,0,0,0,1,1,0,0,0,0,1,0,1,0
1,-0.497898331,0,1,1,0,0,0,1,0,1,0,0,0,1,0
1,-0.4234883,0,1,0,0,1,1,0,0,0,1,0,0,1,0
0,-0.572308362,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,0.097381917,0,1,0,0,1,1,0,0,0,0,1,0,0,1
0,1.213532382,1,0,0,1,0,1,0,0,0,1,0,0,0,1
0,-0.497898331,1,0,0,1,0,1,0,0,0,1,0,0,0,1
1,-0.125848176,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,0.692662165,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.274668238,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.646718393,0,1,0,0,1,1,0,0,0,0,1,0,1,0
0,-0.125848176,1,0,0,0,1,1,0,0,0,1,0,0,1,0
0,-0.721128424,0,1,0,0,1,1,0,0,0,0,1,0,0,1
0,0.32061201,1,0,0,1,0,1,0,0,0,1,0,0,1,0
1,-1.986098952,1,0,0,1,0,1,0,0,0,1,0,0,1,0
0,-0.646718393,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-1.572064413,0,1,0,0,1,1,0,0,0,1,0,1,0,0
0,-0.149172215,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.771504015,1,0,0,0,1,0,0,1,0,0,1,0,0,1
1,0.246201979,0,1,1,0,0,0,0,1,1,0,0,0,1,0
0,0.419434193,1,0,0,1,0,1,0,0,0,0,1,0,0,1
1,1.06471232,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,0.063481126,0,1,0,0,1,1,0,0,0,0,1,0,0,1
1,0.32061201,0,1,0,1,0,1,0,0,0,1,0,0,1,0
1,-0.869948487,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,0.022971886,1,0,0,1,0,1,0,0,0,1,0,0,0,1
0,-1.465228735,0,1,0,0,1,1,0,0,0,1,0,0,1,0
0,-0.149172215,1,0,0,0,1,0,1,0,0,0,1,0,0,1
0,-0.646718393,1,0,0,0,1,0,0,1,0,0,1,0,0,1
0,-0.051438145,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.125848176,0,1,0,0,1,1,0,0,0,1,0,0,1,0
0,-0.869948487,1,0,0,0,1,1,0,0,0,1,0,0,1,0
0,-0.040754909,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,-0.125848176,0,1,0,1,0,1,0,0,0,1,0,0,1,0
1,-0.795538456,0,1,0,1,0,1,0,0,0,1,0,0,0,1
0,0.393645337,1,0,0,0,1,0,0,1,0,0,1,0,0,1
1,0.171791948,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,-0.125848176,1,0,1,0,0,1,0,0,0,1,0,0,0,1
1,-0.190462658,0,1,0,0,1,1,0,0,0,1,0,0,1,0
1,0.915892258,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,-0.944358518,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,1.511172506,1,0,1,0,0,1,0,0,1,0,0,0,1,0
1,-1.167588611,0,1,1,0,0,1,0,0,1,0,0,0,1,0
0,-0.646718393,0,1,0,0,1,1,0,0,0,1,0,1,0,0
1,-0.4234883,0,1,0,1,0,1,0,0,0,1,0,1,0,0
0,2.552912941,1,0,1,0,0,1,0,0,1,0,0,1,0,0
0,0.097381917,1,0,0,1,0,1,0,0,0,1,0,0,0,1
1,1.139122351,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,-0.721128424,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.349078269,1,0,0,0,1,1,0,0,0,0,1,0,1,0
1,-0.125848176,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,-0.461348891,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,-1.911688921,1,0,1,0,0,1,0,0,1,0,0,0,1,0
1,-1.241998642,0,1,0,1,0,1,0,0,0,1,0,0,1,0
1,0.32061201,1,0,1,0,0,1,0,0,0,1,0,0,0,1
1,-1.83727889,0,1,0,0,1,0,1,0,0,1,0,0,1,0
1,1.659992568,1,0,1,0,0,1,0,0,0,1,0,0,0,1
0,0.469432072,1,0,0,1,0,1,0,0,0,1,0,0,1,0
0,-0.409040353,1,0,0,0,1,1,0,0,0,1,0,0,1,0
0,0.022971886,1,0,1,0,0,0,1,0,0,1,0,0,0,1
1,1.436762475,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0.063481126,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,-0.051438145,1,0,0,0,1,0,1,0,0,0,1,0,0,1
0,2.627322972,1,0,1,0,0,1,0,0,0,1,0,0,0,1
1,1.091347863,0,1,1,0,0,1,0,0,1,0,0,0,1,0
1,1.511172506,0,1,0,1,0,1,0,0,0,1,0,0,0,1
0,0.393645337,1,0,0,0,1,0,0,1,0,0,1,0,0,1
1,1.362352444,1,0,1,0,0,1,0,0,0,1,0,0,0,1
0,0.32061201,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,1.287942413,1,0,1,0,0,1,0,0,0,1,0,0,0,1
0,1.362352444,1,0,0,1,0,1,0,0,0,1,0,0,0,1
0,0.063481126,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,0.618252134,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,0.419434193,1,0,0,1,0,1,0,0,0,0,1,0,0,1
0,1.957632693,1,0,1,0,0,1,0,0,0,1,0,0,0,1
0,-0.712376092,1,0,0,0,1,0,0,1,0,0,1,0,0,1
1,-2.153521522,0,1,0,0,1,0,1,0,0,1,0,0,1,0
0,-0.040754909,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,0.618252134,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,0.246201979,0,1,0,1,0,1,0,0,0,1,0,0,1,0
1,-0.497898331,0,1,0,1,0,0,1,0,0,1,0,0,0,1
0,-0.572308362,0,1,0,0,1,1,0,0,0,0,1,0,0,1
0,1.145969846,1,0,1,0,0,1,0,0,1,0,0,0,0,1
0,0.32061201,1,0,0,1,0,1,0,0,0,1,0,0,1,0
0,-0.051438145,1,0,0,0,1,1,0,0,0,0,1,0,1,0
0,-0.572308362,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,-2.060508983,0,1,0,0,1,1,0,0,0,1,0,0,1,0
0,-1.539638766,1,0,0,0,1,1,0,0,0,1,0,1,0,0
0,0.419434193,1,0,0,1,0,1,0,0,0,0,1,0,0,1
0,1.511172506,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,2.47850291,0,1,0,0,1,1,0,0,0,0,1,0,0,1
1,-0.349078269,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,-1.572064413,0,1,0,0,1,1,0,0,0,1,0,1,0,0
1,0.395022041,0,1,1,0,0,1,0,0,1,0,0,0,1,0
0,2.106452755,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,0.022971886,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,-1.539638766,1,0,0,0,1,1,0,0,0,1,0,0,1,0
0,-0.409040353,1,0,0,0,1,1,0,0,0,1,0,0,1,0
0,-0.646718393,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,1.883222662,1,0,1,0,0,1,0,0,0,1,0,0,0,1
0,3.073783158,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,-0.646718393,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.864082053,1,0,0,0,1,0,1,0,0,1,0,0,0,1
1,1.80881263,0,1,1,0,0,0,1,0,1,0,0,0,1,0
0,-0.361479941,1,0,0,0,1,1,0,0,0,1,0,0,0,1
0,-0.349078269,0,1,1,0,0,1,0,0,1,0,0,0,1,0
0,-0.4234883,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.944358518,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.646718393,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,-0.274992158,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,0.543842103,0,1,0,0,1,1,0,0,0,0,1,0,0,1
1,-1.018768549,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,-0.869948487,1,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0.246201979,0,1,0,1,0,1,0,0,0,1,0,0,1,0
1,1.499182534,1,0,1,0,0,1,0,0,0,1,0,0,0,1
0,-0.125848176,1,0,0,0,1,1,0,0,0,1,0,0,0,1
1,-0.274668238,1,0,0,0,1,1,0,0,1,0,0,0,0,1
1,-0.051438145,1,0,0,0,1,0,0,1,0,0,1,0,0,1
0,0.063481126,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,0.469432072,1,0,1,0,0,1,0,0,0,1,0,0,0,1
1,1.80881263,0,1,1,0,0,0,1,0,1,0,0,0,1,0
0,-0.4234883,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,1.287942413,1,0,1,0,0,1,0,0,0,1,0,0,0,1
1,0.32061201,0,1,0,1,0,1,0,0,0,1,0,0,0,1
0,0.253122112,1,0,0,0,1,0,0,1,0,1,0,0,0,1
1,0.469432072,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,0.171791948,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,0.022971886,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,-0.572308362,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.027429555,1,0,0,0,1,0,1,0,0,0,1,0,0,1
1,1.06471232,0,1,1,0,0,0,1,0,1,0,0,0,1,0
0,-0.50715885,1,0,0,0,1,0,1,0,0,0,1,0,0,1
0,0.804277212,1,0,0,0,1,0,0,1,0,0,1,0,0,1
1,1.511172506,0,1,0,1,0,1,0,0,0,1,0,0,0,1
0,0.723963985,1,0,1,0,0,1,0,0,1,0,0,0,0,1
0,0.692662165,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.497898331,1,0,0,1,0,1,0,0,0,1,0,0,1,0
1,-2.060508983,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,-0.50715885,1,0,0,0,1,0,1,0,0,0,1,0,0,1
0,-0.944358518,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1,-1.662415317,0,1,0,0,1,0,1,0,0,1,0,0,1,0
0,0.022971886,0,1,0,0,1,1,0,0,0,0,1,0,0,1
1,-1.688458828,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,1.139122351,1,0,1,0,0,1,0,0,0,1,0,0,0,1
1,0.022971886,0,1,1,0,0,0,1,0,1,0,0,0,0,1
0,-0.552062633,1,0,0,0,1,1,0,0,0,1,0,0,0,1
1,-0.572308362,0,1,1,0,0,0,1,0,0,1,0,0,1,0
1,0.469432072,0,1,1,0,0,1,0,0,1,0,0,0,1,0
0,-1.539638766,0,1,0,0,1,1,0,0,0,1,0,1,0,0
0,-1.390818704,0,1,0,0,1,1,0,0,0,1,0,1,0,0
1,0.171791948,1,0,0,1,0,1,0,0,0,1,0,0,1,0
0,1.511172506,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,2.552912941,1,0,1,0,0,1,0,0,0,1,0,0,0,1
1,-0.795538456,0,1,0,1,0,1,0,0,0,1,0,0,1,0
1,0.207767426,1,0,0,1,0,0,1,0,0,1,0,0,0,1
0,0.246201979,1,0,0,0,1,1,0,0,0,1,0,0,1,0
1,-1.614048797,1,0,0,1,0,1,0,0,0,1,0,0,1,0
1,-0.944358518,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,-0.200258207,1,0,0,1,0,1,0,0,0,1,0,0,0,1
0,-0.249492499,1,0,0,0,1,0,0,1,0,0,1,0,0,1
1,-0.572308362,1,0,0,0,1,0,1,0,0,0,1,0,0,1
1,-0.572308362,0,1,0,0,1,1,0,0,0,0,1,0,0,1
0,2.404092879,1,0,1,0,0,1,0,0,0,1,0,0,0,1
1,1.362352444,0,1,1,0,0,0,1,0,0,1,0,0,1,0
0,0.723963985,1,0,1,0,0,0,1,0,1,0,0,0,0,1
1,0.692662165,0,1,1,0,0,1,0,0,1,0,0,0,1,0
1,0.469432072,0,1,0,0,1,1,0,0,0,1,0,0,1,0
0,0.393645337,1,0,0,0,1,0,0,1,0,0,1,0,0,1
0,0.767072196,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.125848176,1,0,0,1,0,1,0,0,0,1,0,0,0,1
0,0.063481126,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,0.063481126,0,1,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.4234883,1,0,0,0,1,1,0,0,0,1,0,0,1,0
0,-0.795538456,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.051438145,0,1,0,0,1,1,0,0,0,1,0,1,0,0
0,-0.50715885,1,0,0,0,1,0,1,0,0,0,1,0,0,1
1,0.171791948,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,2.404092879,1,0,0,1,0,1,0,0,0,1,0,0,0,1
1,1.734402599,0,1,1,0,0,1,0,0,1,0,0,0,1,0
1,0.469432072,1,0,1,0,0,1,0,0,0,1,0,0,0,1
1,0.393645337,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,-1.018768549,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,-0.795538456,1,0,0,0,1,1,0,0,0,1,0,0,0,1
1,0.32061201,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,0.692662165,0,1,1,0,0,1,0,0,1,0,0,0,1,0
0,-0.658576368,0,1,0,0,1,0,1,0,0,1,0,0,1,0
1,0.171791948,1,0,0,0,1,1,0,0,0,0,1,0,0,1
1,-0.349078269,0,1,0,1,0,1,0,0,0,1,0,0,1,0
1,0.692662165,0,1,1,0,0,0,1,0,1,0,0,0,1,0
0,1.80881263,1,0,0,1,0,1,0,0,0,1,0,0,0,1
0,0.469432072,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,-0.060102658,1,0,0,0,1,0,1,0,0,0,1,0,0,1
1,-0.869948487,0,1,1,0,0,1,0,0,1,0,0,0,1,0
0,1.287942413,1,0,0,1,0,1,0,0,0,1,0,0,0,1
1,2.255272817,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,-0.572308362,1,0,0,0,1,1,0,0,0,0,1,0,0,1
0,0.063481126,1,0,0,0,1,1,0,0,0,0,1,0,0,1
