,Unnamed: 0.1,Unnamed: 0,Survived,Age,Fare,SibSp,Parch,male,female,Pclass_1,Pclass_2,Pclass_3,Embarked_S,Embarked_C,Embarked_Q
0,0,0,0,-0.5723083624193249,7.25,1,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,1,1,1,0.6182521340369286,71.2833,1,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2,2,2,1,-0.2746682383052615,7.925,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
3,3,3,1,0.3950220409513811,53.1,1,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
4,4,4,0,0.3950220409513811,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,5,5,0,-0.4270015168272827,8.4583,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6,6,6,0,1.8088126304931824,51.8625,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
7,7,7,0,-2.0605089829896417,21.075,3,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8,8,8,1,-0.2002582072767456,11.1333,0,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
9,9,9,1,-1.1675886106474516,30.0708,1,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
10,10,10,1,-1.91168892093261,16.7,1,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
11,11,11,1,2.1064527546072456,26.55,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
12,12,12,0,-0.7211284244763566,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,13,13,0,0.6926621650654444,31.275,1,5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
14,14,14,0,-1.1675886106474516,7.8542,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
15,15,15,1,1.883222661521698,16.0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
16,16,16,0,-2.0605089829896417,29.125,4,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
17,17,17,1,0.1727267372401087,13.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
18,18,18,0,0.0973819168373177,18.0,1,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
19,19,19,1,-0.0274295554355551,7.225,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
20,20,20,0,0.3950220409513811,26.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
21,21,21,1,0.3206120099228652,13.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
22,22,22,1,-1.0931785796189355,8.0292,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
23,23,23,1,-0.1258481762482298,35.5,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
24,24,24,0,-1.6140487968185466,21.075,3,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
25,25,25,1,0.6182521340369286,31.3875,1,5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
26,26,26,0,-0.0274295554355551,7.225,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
27,27,27,0,-0.7955384555048725,263.0,3,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
28,28,28,1,-0.5351861236142255,7.8792,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
29,29,29,0,-0.1491722153885191,7.8958,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
30,30,30,0,0.7670721960939603,27.7208,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
31,31,31,1,0.4621498102765738,146.5208,1,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
32,32,32,1,0.3936453374693172,7.75,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
33,33,33,0,2.7017330028353723,10.5,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
34,34,34,0,-0.1258481762482298,82.1708,1,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
35,35,35,0,0.915892258150992,52.0,1,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
36,36,36,1,-0.5071588503407715,7.2292,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
37,37,37,0,-0.6467183934478408,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
38,38,38,0,-0.8699484865333883,18.0,2,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
39,39,39,1,-1.1675886106474516,11.2417,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
40,40,40,0,0.7670721960939603,9.475,1,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
41,41,41,0,-0.2002582072767456,21.0,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
42,42,42,0,-0.1491722153885191,7.8958,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
43,43,43,1,-1.9860989519611256,41.5792,1,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
44,44,44,1,-0.7955384555048725,7.8792,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
45,45,45,0,0.0634811258783985,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
46,46,46,0,0.3022575356024978,15.5,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
47,47,47,1,0.3936453374693172,7.75,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
48,48,48,0,-0.435269888608475,21.6792,2,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
49,49,49,0,-0.8699484865333883,17.8,1,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
50,50,50,0,-1.6884588278470625,39.6875,4,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
51,51,51,0,-0.6467183934478408,7.8,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
52,52,52,1,1.436762475350603,76.7292,1,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
53,53,53,1,-0.0514381452197139,26.0,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
54,54,54,0,2.6273229718068563,61.9792,0,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
55,55,55,1,1.0120199787912028,35.5,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
56,56,56,1,-0.6467183934478408,10.5,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
57,57,57,0,-0.0886431607339718,7.2292,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
58,58,58,1,-1.8372788899040944,27.75,1,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
59,59,59,0,-1.390818703732999,46.9,5,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
60,60,60,0,-0.5723083624193249,7.2292,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
61,61,61,1,0.6182521340369286,80.0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
62,62,62,0,1.1391223512365396,83.475,1,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
63,63,63,0,-1.91168892093261,27.9,3,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
64,64,64,0,0.826771589473081,27.7208,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
65,65,65,1,-0.8434089087998841,15.2458,1,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
66,66,66,1,-0.0514381452197139,10.5,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
67,67,67,0,-0.7955384555048725,8.1583,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
68,68,68,1,-0.944358517561904,7.925,4,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
69,69,69,0,-0.2746682383052615,8.6625,2,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
70,70,70,0,0.1717919478658335,10.5,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
71,71,71,0,-1.01876854859042,46.9,5,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
72,72,72,0,-0.6467183934478408,73.5,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
73,73,73,0,-0.2746682383052615,14.4542,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
74,74,74,1,0.1717919478658335,56.4958,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
75,75,75,0,-0.3490782693337773,7.65,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
76,76,76,0,-0.1491722153885191,7.8958,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
77,77,77,0,0.0634811258783985,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
78,78,79,1,0.0229718858088018,12.475,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
79,79,80,0,-0.5723083624193249,9.0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
80,80,81,1,-0.0514381452197139,9.5,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
81,81,82,1,-0.4902172941979658,7.7875,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
82,82,83,0,-0.1258481762482298,47.1,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
83,83,84,1,-0.944358517561904,10.5,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
84,84,85,1,0.2462019788943494,15.85,3,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
85,85,86,0,-1.01876854859042,34.375,1,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
86,86,87,0,0.0634811258783985,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
87,87,88,1,-0.497898331390809,263.0,3,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
88,88,89,0,-0.4234883003622932,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
89,89,90,0,-0.0514381452197139,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
90,90,91,0,-0.7211284244763566,7.8542,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
91,91,92,0,1.2135323822650554,61.175,1,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
92,92,93,0,-0.2746682383052615,20.575,1,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
93,93,94,0,2.180862785635761,7.25,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
94,94,95,0,0.0634811258783985,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
95,95,96,0,3.0737831579779518,34.6542,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
96,96,97,1,-0.497898331390809,63.3583,0,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
97,97,98,1,0.3206120099228652,23.0,0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
98,98,99,0,0.3206120099228652,26.0,1,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
99,99,100,0,-0.1258481762482298,7.8958,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
100,100,101,0,-0.1491722153885191,7.8958,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
101,101,102,0,-0.6467183934478408,77.2875,0,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
102,102,103,0,0.2462019788943494,8.6542,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
103,103,104,0,0.5438421030084127,7.925,2,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
104,104,105,0,-0.1258481762482298,7.8958,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
105,105,106,1,-0.6467183934478408,7.65,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
106,106,107,1,-0.1297060312418861,7.775,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
107,107,108,0,0.6182521340369286,7.8958,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
108,108,109,1,0.220009647972312,24.15,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
109,109,110,0,1.2879424132935713,52.0,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
110,110,111,0,-1.1303835951331938,14.4542,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
111,111,112,0,-0.5723083624193249,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
112,112,113,0,-0.7211284244763566,9.825,1,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
113,113,114,0,-0.944358517561904,14.4583,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
114,114,115,0,-0.6467183934478408,7.925,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
115,115,116,0,3.0365781424636937,7.75,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
116,116,117,0,-0.0514381452197139,21.0,1,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
117,117,118,0,-0.4234883003622932,247.5208,0,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
118,118,119,0,-2.0605089829896417,31.275,4,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
119,119,120,0,-0.6467183934478408,73.5,2,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
120,120,121,0,0.0634811258783985,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
121,121,122,0,0.2089969633800915,30.0708,1,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
122,122,123,1,0.2089969633800915,13.0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
123,123,124,0,1.8088126304931824,77.2875,0,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
124,124,125,1,-1.3164086727044833,11.2417,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
125,125,126,0,0.3936453374693172,7.75,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
126,126,127,1,-0.4234883003622932,7.1417,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
127,127,128,1,-0.2663219131582296,22.3583,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
128,128,129,0,1.1391223512365396,6.975,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
129,129,130,0,0.2462019788943494,7.8958,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
130,130,131,0,-0.7211284244763566,7.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
131,131,132,0,1.2879424132935713,14.5,1,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
132,132,133,1,-0.0514381452197139,26.0,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
133,133,134,0,-0.3490782693337773,13.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
134,134,135,0,-0.497898331390809,15.0458,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
135,135,136,1,-0.7955384555048725,26.2833,0,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
136,136,137,0,0.5438421030084127,53.1,1,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
137,137,138,0,-1.01876854859042,9.2167,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
138,138,139,0,-0.4234883003622932,79.2,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
139,139,140,0,-0.305176351026953,15.2458,0,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
140,140,141,1,-0.5723083624193249,7.75,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
141,141,142,1,-0.4234883003622932,15.85,1,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
142,142,143,0,-0.7955384555048725,6.75,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
143,143,144,0,-0.8699484865333883,11.5,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
144,144,145,0,-0.7955384555048725,36.75,1,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
145,145,146,1,-0.2002582072767456,7.7958,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
146,146,147,0,-1.5396387657900308,34.375,2,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
147,147,148,0,0.5066370874941548,26.0,0,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
148,148,149,0,0.915892258150992,13.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
149,149,150,0,1.5855825374076349,12.525,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
150,150,151,1,-0.5723083624193249,66.6,1,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
151,151,153,0,0.8042772116082182,14.5,0,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
152,152,154,0,-0.0407549092628619,7.3125,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
153,153,155,0,1.5855825374076349,61.3792,0,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
154,154,156,1,-1.01876854859042,7.7333,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
155,155,157,0,0.0229718858088018,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
156,156,158,0,-0.3165478741834968,8.6625,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
157,157,159,0,-1.3526283727068609,69.55,8,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
158,158,160,0,1.0647123202080238,16.1,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
159,159,161,1,0.7670721960939603,15.75,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
160,160,162,0,-0.2746682383052615,7.775,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
161,161,163,0,-0.944358517561904,8.6625,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
162,162,164,0,-2.1349190140181578,39.6875,4,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
163,163,165,1,-1.5396387657900308,20.525,0,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
164,164,166,1,-0.3346923300015977,55.0,0,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
165,165,167,0,1.1391223512365396,27.9,1,4,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
166,166,168,0,1.457026807134037,25.925,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
167,167,169,0,-0.1258481762482298,56.4958,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
168,168,170,0,2.329682847692793,33.5,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
169,169,171,0,-1.91168892093261,29.125,4,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
170,170,172,1,-2.1349190140181578,11.1333,1,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
171,171,173,0,-0.6467183934478408,7.925,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
172,172,174,0,1.9576326925502137,30.6958,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
173,173,175,0,-0.8699484865333883,7.8542,1,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
174,174,176,0,-1.5720644132002108,25.4667,3,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
175,175,177,0,1.5111725063791188,28.7125,0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
176,176,178,0,0.0229718858088018,13.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
177,177,179,0,0.4694320719798969,0.0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
178,178,180,0,-1.3526283727068609,69.55,8,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
179,179,181,0,0.2447137782737788,15.05,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
180,180,182,0,-1.5396387657900308,31.3875,4,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
181,181,184,1,-1.91168892093261,22.025,0,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
182,182,185,0,1.1942477825568312,50.0,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
183,183,186,1,0.3022575356024978,15.5,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
184,184,187,1,1.1391223512365396,26.55,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
185,185,188,0,0.7670721960939603,15.5,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
186,186,189,0,0.4694320719798969,7.8958,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
187,187,190,1,0.1717919478658335,13.0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
188,188,191,0,-0.7955384555048725,13.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
189,189,192,1,-0.7955384555048725,7.8542,1,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
190,190,193,1,-1.9860989519611256,26.0,1,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
191,191,194,1,1.0647123202080238,27.7208,0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
192,192,195,1,2.1064527546072456,146.5208,0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
193,193,196,0,0.3936453374693172,7.75,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
194,194,197,0,0.915892258150992,8.4042,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
195,195,198,1,0.3936453374693172,7.75,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
196,196,199,0,-0.4234883003622932,13.0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
197,197,200,0,-0.1258481762482298,9.5,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
198,198,201,0,-1.3526283727068609,69.55,8,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
199,199,202,0,0.3206120099228652,6.4958,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
200,200,203,0,1.1763273667507974,7.225,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
201,201,204,1,-0.8699484865333883,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
202,202,205,0,-2.0605089829896417,10.4625,0,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
203,203,206,0,0.1717919478658335,15.85,1,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
204,204,207,1,-0.2746682383052615,18.7875,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
205,205,208,1,-1.01876854859042,7.75,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
206,206,209,1,0.7670721960939603,31.0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
207,207,210,0,-0.4234883003622932,7.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
208,208,211,1,0.3950220409513811,21.0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
209,209,212,0,-0.5723083624193249,7.25,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
210,210,213,0,0.0229718858088018,13.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
211,211,214,0,0.0810356980333209,7.75,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
212,212,215,1,0.0973819168373177,113.275,1,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
213,213,216,1,-0.2002582072767456,7.925,0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
214,214,217,0,0.915892258150992,27.0,1,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
215,215,218,1,0.1717919478658335,76.2917,0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
216,216,219,0,0.0229718858088018,10.5,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
217,217,220,1,-1.01876854859042,8.05,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
218,218,221,0,-0.2002582072767456,13.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
219,219,223,0,-0.1491722153885191,7.8958,0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
220,220,224,1,0.6182521340369286,90.0,1,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
